152807,"{'y': 43.9438667, 'x': 4.833807, 'street_count': 3}"
152818,"{'y': 43.9483394, 'x': 4.840695, 'street_count': 3}"
152833,"{'y': 43.9525299, 'x': 4.8400098, 'street_count': 3}"
152834,"{'y': 43.9525243, 'x': 4.8418987, 'street_count': 3}"
152853,"{'y': 43.958713, 'x': 4.8400374, 'street_count': 3}"
154297,"{'y': 43.967897, 'x': 4.8547794, 'street_count': 3}"
154300,"{'y': 43.969397, 'x': 4.8554915, 'street_count': 3}"
154301,"{'y': 43.9714801, 'x': 4.8564587, 'street_count': 3}"
154307,"{'y': 43.972717, 'x': 4.857708, 'street_count': 3}"
154313,"{'y': 43.9740825, 'x': 4.858068, 'street_count': 3}"
154338,"{'y': 43.9768785, 'x': 4.8761067, 'street_count': 3}"
154341,"{'y': 43.9776423, 'x': 4.8764947, 'street_count': 3}"
154343,"{'y': 43.9779599, 'x': 4.8764707, 'street_count': 3}"
154347,"{'y': 43.9778818, 'x': 4.8771093, 'street_count': 3}"
154364,"{'y': 43.9798126, 'x': 4.8787913, 'street_count': 3}"
154394,"{'y': 43.9746025, 'x': 4.872753, 'street_count': 1}"
154395,"{'y': 43.9733925, 'x': 4.8712769, 'street_count': 3}"
154400,"{'y': 43.9731376, 'x': 4.8670542, 'street_count': 3}"
154402,"{'y': 43.9733353, 'x': 4.8669879, 'street_count': 3}"
154404,"{'y': 43.9731598, 'x': 4.8665494, 'street_count': 3}"
154408,"{'y': 43.9851177, 'x': 4.8896088, 'street_count': 3}"
154433,"{'y': 43.9813057, 'x': 4.8926017, 'street_count': 3}"
154443,"{'y': 43.9849779, 'x': 4.8895989, 'street_count': 3}"
154458,"{'y': 43.9273162, 'x': 4.8456341, 'street_count': 3}"
154474,"{'y': 43.9261251, 'x': 4.8500409, 'street_count': 3}"
154491,"{'y': 43.9238882, 'x': 4.8582186, 'street_count': 3}"
154492,"{'y': 43.9248813, 'x': 4.8583177, 'street_count': 3}"
154527,"{'y': 43.9230986, 'x': 4.8613548, 'street_count': 3}"
154531,"{'y': 43.9234655, 'x': 4.8595918, 'street_count': 3}"
154532,"{'y': 43.9226748, 'x': 4.8612272, 'street_count': 3}"
154535,"{'y': 43.9216785, 'x': 4.8620108, 'street_count': 3}"
154538,"{'y': 43.920181, 'x': 4.8660318, 'street_count': 3}"
